codigo,descripcion,unidad,Saldoin-Cantidad,Saldoin-Valor,ent-Cantidad,ent-Valor,sal-Cantidad,sal-Valor,sadout-Cantidad,saldout-Valor,SUB-CATEGORIA,tipo,estado_mat,descripcion_material
01-26-01,KANTUTA  3045  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
01-26-05,AM. LIMON  0024  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
01-26-06,AZUL PETROLEO  7009  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
01-26-11,BLANCO  0010  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
01-26-13,BLANCO  0010  2/18,KILOS,0.0,0.0,199.0,199.0,199.0,199.0,0.0,0.0,2/18,HB,,
01-26-16,V. ESMERALDA  4033  2/18,KILOS,0.0,0.0,203.5,203.5,203.5,203.5,0.0,0.0,2/18,HB,,
01-26-18,AZUL PASTEL  7012  2/18,KILOS,0.0,0.0,203.5,203.5,203.5,203.5,0.0,0.0,2/18,HB,,
01-26-19,VERDE  4073  2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,2/18,HB,,
01-26-21,CICLAN  2004  2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,2/18,HB,,
01-26-23,CICLAN OSCURO  2005  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
01-26-26,BLANCO  0010  2/18,KILOS,0.0,0.0,203.5,203.5,203.5,203.5,0.0,0.0,2/18,HB,,
01-26-27,AZUL PETROLEO  7009  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
01-26-28,BLANCO  0010  2/18,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,
01-26-31,VICUÑA  6007  2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,2/18,HB,,
01-26-32,VICUÑA  6011  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
01-26-36,VERDE BOTELLA  4011  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
01-26-37,PLOMO  8010  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
01-26-40,VICUÑA  6007  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
01-26-41,CALIPSO  7008  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
01-26-42,VICUÑA  6011  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
01-26-45,VERDE BANDERA  4010  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
01-26-47,API  7032  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
01-26-49,ROJO  3006  2/18,KILOS,0.0,0.0,203.5,203.5,203.5,203.5,0.0,0.0,2/18,HB,,
01-26-50,KANTUTA  3018  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
01-26-54,API  7014  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
01-26-55,MARFIL  0022  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
01-26-57,ROJO SANDIA  3023  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
01-26-59,AZUL CIELO  7005  2/18,KILOS,0.0,0.0,199.5,199.5,199.5,199.5,0.0,0.0,2/18,HB,,
01-26-61,CELESTE  7054  2/18,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,
01-26-63,KANTUTA  3045  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
01-26-65,BLANCO  0010  2/18,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,
