codigo,product_name,color_code,thickness,unidad,saldoin_cantidad,saldoin_valor,entrada_cantidad,entrada_valor,salida_cantidad,salida_valor,saldout_cantidad,saldout_valor,categoria,sub_categoria,balance_consistent
01-24-26,ROJO,3017,2/18,KILOS,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-24-28,CONFITE,2002,2/18,KILOS,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-24-35,KANTUTA,3045,2/18,KILOS,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-24-39,CICLAN,2004,2/18,KILOS,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-24-45-1,ROSADO BB,2001,2/18,KILOS,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-24-54-1,AMARILLO PATO,0027,2/18,KILOS,11.0,11.0,0.0,0.0,11.0,11.0,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-24-58,CARTON AMARILLO,6004,2/18,KILOS,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-25-01,VICUÑA,6011,2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-25-04,FUCSIA,3049,2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-25-05,AZUL PETROLEO,7009,2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-25-07,VERDE BANDERA,4010,2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-25-09,ROJO,3006,2/18,KILOS,0.0,0.0,203.5,203.5,203.5,203.5,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-25-11,FUCSIA,3049,2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-25-12,ROJO,3017,2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-25-13,CALIPSO,7008,2/18,KILOS,0.0,0.0,204.5,204.5,204.5,204.5,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-25-18,VICUÑA,6011,2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
01-25-20,BLANCO,0010,2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,1 - ALMACEN PRODUCTO TERMINADO,1 - TITULO 2/18,True
