Seccion,Descripcion,Unidad,Saldo_31122024_Cantidad,Saldo_31122024_Valor,Entrada_Cantidad,Entrada_Valor,Salida_Cantidad,Salida_Valor,Saldos_Cantidad,Saldos_Valor
A 1 - TITULO 2/18,CONFITE 2003 2/18,KILOS,0.00,0.00,204.00,204.00,204.00,204.00,0.00,0.00
A 1 - TITULO 2/18,ROJO 3006 2/18,KILOS,0.00,0.00,204.00,204.00,204.00,204.00,0.00,0.00
A 1 - TITULO 2/18,VERDE MEDIO 4029 2/18,KILOS,0.00,0.00,204.00,204.00,204.00,204.00,0.00,0.00
A 1 - TITULO 2/18,AZUL PETROLEO 7084 2/18 DEV,KILOS,0.00,0.00,204.00,204.00,0.00,0.00,204.00,204.00
A 1 - TITULO 2/18,CLAVEL 3005 2/18,KILOS,11.00,11.00,0.00,0.00,11.00,11.00,0.00,0.00
A 1 - TITULO 2/18,VERDE BOTELLA 4011 2/18,KILOS,18.00,18.00,0.00,0.00,18.00,18.00,0.00,0.00
A 1 - TITULO 2/18,VERDE LECHUGA 4007 2/18 DEV,KILOS,0.00,0.00,203.00,203.00,0.00,0.00,203.00,203.00
A 1 - TITULO 2/18,CICLAN BAJO 2011 2/18,KILOS,0.50,0.50,0.00,0.00,0.50,0.50,0.00,0.00
A 1 - TITULO 2/18,AMARILLO CANARIO 0015 2/18,KILOS,0.50,0.50,0.00,0.00,0.50,0.50,0.00,0.00
A 1 - TITULO 2/18,CONFITE 2008 2/18,KILOS,0.00,0.00,204.00,204.00,0.00,0.00,204.00,204.00
A 1 - TITULO 2/18,CICLAN 2004 2/18 DEV,KILOS,0.00,0.00,204.00,204.00,0.00,0.00,204.00,204.00
A 1 - TITULO 2/18,MIXTOS 2/18,KILOS,10.50,10.50,0.00,0.00,10.50,10.50,0.00,0.00
A 2 - TITULO 2/32,VERDE 4026 2/32,KILOS,0.50,0.50,0.00,0.00,0.00,0.00,0.50,0.50
A 2 - TITULO 2/32,KANTUTA 3045 2/32-D DEV,KILOS,0.00,0.00,203.00,203.00,203.00,203.00,0.00,0.00
A 4 - TITULO 4/9,BLANCO 0010 4/9,KILOS,0.00,0.00,102.00,102.00,18.00,18.00,84.00,84.00
A 5 - TITULO 2/12,CELESTE 7054 2/12 DEV,KILOS,0.00,0.00,196.00,196.00,196.00,196.00,0.00,0.00
A 11 - TITULO 3/15 MADEJITAS,AZUL FRANCIA 7007 3/15 MADEJITAS,KILOS,10.50,10.50,0.00,0.00,10.50,10.50,0.00,0.00
A 13 - 2/13 TIPO N,VERDE LECHUGA 4007 2/13 DEV,KILOS,0.00,0.00,99.00,99.00,0.00,0.00,99.00,99.00
A 13 - 2/13 TIPO N,NEGRO 5000 2/13-N DEV,KILOS,0.00,0.00,199.00,199.00,0.00,0.00,199.00,199.00
