CATEGORIAS
1. Colorantes
2. Insumos quimicos
SUB CATEGORIAS DE COLORANTES:
1. COLORANTES 
2. COLORANTES ANT 
SUB CATEGORIAS DE INSUMOS QUIMICOS:
1. QUIMICOS
ITEMS:
4325C12   PARAFINA 4325C12
4325R14   PARAFINA 4325R14
COL-01    AZUL MARINO HISPACRYL CMT 265% COLORANTES
COL-02    ROJO HISPACRYL GTL 200% COLORANTES
COL-03    AMARILLO FLAVINA HISPACRYL 10GF 300% COLORANTES
COL-04    VERDE VICTORIA WB 170% COLORANTES
COL-05    AMARILLO ORO XGL 250% COLORANTES
COL-06    CATENIOC VIOLET X 52% COLORANTES
COL-07    AMARILLO ERICROMO COLORANTES
COL-08    ROJO ERICROMO 180% COLORANTES
COL-09    BLUE BASIC X-GRL COLORANTES
COL-10    TURQUEZA XBG 250%
COL-11    VIOLET BASIC 1G 330% COLORANTES
COL-12    ROJO BASIC GRL 250% COLORANTES
COL-13    ROJO BTE HISPACRIL 4G 250% COLORANTES
COL-14    ROJO HISPACRIL GRL 270% COLORANTES
COL-15    AMARILLO ORO HISPACRIL 200% COLORANTES
COL-16    ROJO BTE HISPACRIL 2B 165% COLORANTES
COL-17    AMARILLO HISPACRIL 8GL 245% COLORANTES
COL-18    AZUL HISPACRIL GRL 300% COLORANTES
COL-19    VERDE MALAQUITA COLORANTES
COL-20    AZUL HISPACRIL 5G 300% COLORANTES
COL-21    YELLOW BASIC X-GL COLORANTES
COL-22    VIOLETA 3R 300% COLORANTES
COL-23    AZUL TURQUEZA XBG 300% COLORANTES
COL-24    ROJO X5GN COLORANTES
COL-25    AMARILLO X8GL 250% COLORANTES
COL-26    NEGRO X 0 300% COLORANTES
QMC-01    SUAVIZANTE DPB-2A QUIMICOS
QMC-02    ACIDO FORMICO QUIMICOS
QMC-03    CLORITO DE SODIO QUIMICOS
QMC-04    AVOLAN WA-NIL-0253 QUIMICOS
QMC-05    ASTRAGAL PAN QUIMICOS
QMC-06    BLANQUEADOR OPTICO QUIMICOS
QMC-07    QUIMEX PAC RETARDANTE QUIMICOS
QMC-08    DISPERSANTE QUIMICO
QMC-09    TEXTOLAN IL
QMC-10    TEXTOSOFT PAC
QMC-11    TEXTOCID AO
QMC-12    RETARDEX PAC
COL-22    YELLOW BASIC BGL COLORANTES
QMC-08    UBITEX BAC BLANQUEADOR OPTICO QUIMICOS
